InterZone,Name,TotPop2011,ResPop2011,HHCnt2011,Easting,Northing
S02001854,Hillington,"3519","3519","1628","252573","664439"
S02001855,Drumoyne and Shieldhall,"6268","6191","3173","253938","665268"
S02001856,Govan and Linthouse,"4899","4822","2687","254808","665509"
S02001857,Craigton,"3303","3303","1770","254309","664221"
S02001858,Mosspark,"5240","5231","2337","254520","663047"
S02001859,Ibrox,"3061","2982","1607","255962","665326"
S02001860,Ibrox East and Cessnock,"2948","2839","1630","256186","664538"
S02001861,Kinning Park and Festival Park,"3742","3649","1901","257070","664692"
S02001862,Kingston West and Dumbreck,"3669","3665","1894","255891","663976"
S02001863,Pollokshields West,"4744","4697","1831","257167","663480"
S02001864,Pollokshields East,"4968","4939","1916","257880","663229"
S02001865,Govanhill West,"5429","5386","2736","258583","662726"
S02001866,Govanhill East and Aikenhead,"4081","4050","2110","259077","662627"
S02001867,Battlefield,"4990","4974","2642","258120","661477"
S02001868,Strathbungo,"5617","5520","2951","257906","662506"
S02001869,Maxwell Park,"5929","5834","2330","256558","662481"
S02001870,Shawlands West,"3573","3573","2123","257163","662184"
S02001871,Shawlands East,"3293","3293","1930","257327","661935"
S02001872,Langside,"4086","4027","2238","257535","661591"
S02001873,Pollokshaws,"4487","4473","2589","256618","661516"
S02001874,Carnwadric West,"4634","4634","2189","254552","660247"
S02001875,Carnwadric East,"3144","3144","1458","255497","660287"
S02001876,Newlands,"5387","5383","2197","256557","660699"
S02001877,Merrylee and Millbrae,"3435","3373","1436","257651","660524"
S02001878,Muirend and Old Cathcart,"4951","4951","2220","257905","659925"
S02001879,Carmunnock North,"2903","2903","1205","259136","659979"
S02001880,Carmunnock South,"3744","3710","1692","259116","658547"
S02001881,Glenwood South,"5159","5056","2487","260107","658777"
S02001882,Glenwood North,"4319","4231","1890","261298","659522"
S02001883,Castlemilk,"4905","4900","2341","259984","659732"
S02001884,Kingspark South,"4157","4157","1727","260063","660474"
S02001885,Kingspark North,"4368","4368","1774","259562","661140"
S02001886,Cathcart,"4798","4797","2780","258443","660861"
S02001887,Mount Florida,"4172","4147","2264","258725","661495"
S02001888,Toryglen and Oatlands,"5646","5645","2812","260106","661702"
S02001889,Gorbals and Hutchesontown,"5824","5794","3288","259444","663629"
S02001890,Laurieston and Tradeston,"5001","4449","2546","258527","664341"
S02001891,Calton and Gallowgate,"3987","3951","2403","260218","664691"
S02001892,Bridgeton,"3552","3515","1979","260657","663965"
S02001893,Dalmarnock,"2529","2525","1453","261070","663681"
S02001894,Parkhead West and Barrowfield,"5709","5492","2827","262364","663850"
S02001895,Parkhead East and Braidfauld North,"3166","3144","1649","263065","663873"
