InterZone,Name,TotPop2011,ResPop2011,HHCnt2011,Easting,Northing
S02002169,Kirkwood and Bargeddie,"6328","6309","2537","270962","663883"
S02002170,Kirkshaws,"6056","6056","2480","272376","663128"
S02002171,Dundyvan,"6230","6076","2799","272791","663986"
S02002172,Drumpellier and Langloan,"2636","2617","1096","272098","664448"
S02002173,Coatbridge West,"4052","4007","1908","272381","665066"
S02002174,Townhead,"4818","4796","2015","271842","666295"
S02002175,Sunnyside and Cliftonville,"4064","3961","1957","273258","665792"
S02002176,Cliftonville,"3193","3193","1614","274021","664985"
S02002177,Shawhead and Whifflet,"2939","2939","1378","273914","663358"
S02002178,Greenend and Carnbroe,"5640","5572","2243","274612","663526"
S02002179,Calderbank and Brownsburn,"2538","2538","1064","277022","663055"
S02002180,Chapelhall West,"2544","2544","1071","277581","662597"
S02002181,Chapelhall East,"3952","3952","1518","278417","662622"
S02002182,Craigneuk Airdrie,"3797","3784","1439","278359","665074"
S02002183,Petersburn,"4005","4005","1645","277629","664866"
S02002184,Gartlea,"3153","3153","1351","276688","664969"
S02002185,Cairnhill,"4684","4680","1973","276134","664390"
S02002186,Coatdyke and Whinhall,"5485","5472","2445","275389","665040"
S02002187,Thrashbush,"5495","5474","2558","275651","666270"
S02002188,Airdrie North,"5547","5473","2522","276556","666305"
S02002189,Drumgelloch,"4134","4077","1833","277765","665702"
S02002190,Caldercruix and Plains,"5714","5626","2363","281640","667469"
S02002191,Glenmavis and Greengairs,"4602","4602","1856","275762","668041"
S02002192,Gartcosh and Marnock,"5621","5621","2223","271480","668819"
S02002193,Cardowan and Millerston,"4410","4410","1761","266144","667955"
S02002194,Stepps,"2380","2380","1034","265756","668692"
S02002195,Chryston and Muirhead,"4166","4125","1773","268152","669574"
S02002196,Moodiesburn West,"3665","3665","1631","269440","670807"
S02002197,Moodiesburn East,"3626","3626","1425","270052","671230"
S02002198,Westfield,"6234","6234","2405","272945","673662"
S02002199,Condorrat,"4985","4943","2129","274048","673174"
S02002200,Greenfaulds,"4039","4000","1700","275218","673153"
S02002201,Seafar,"3497","3497","1590","275682","673863"
S02002202,Cumbernauld Central,"4738","4738","2233","276323","674537"
S02002203,Kildrum,"4310","4310","2095","276761","674986"
S02002204,Abronhill South,"4120","4119","1805","278352","675321"
S02002205,Abronhill North,"4410","4410","1871","278489","676280"
S02002206,Village and Castlecary,"3546","3470","1724","276298","675874"
S02002207,Carrickstone,"5126","5070","1729","275424","675978"
S02002208,Balloch West,"3595","3595","1378","273907","675226"
S02002209,Balloch East,"2924","2924","1222","273639","674389"
S02002210,Kilsyth East and Croy,"6120","6095","2709","272588","677650"
S02002211,Kilsyth Bogside,"3308","3297","1470","271770","677608"
S02002212,Balmalloch,"3919","3919","1668","271137","678356"
S02002213,"Stromness, Sandwick and Stenness","3146","3089","1464","326095","1009911"
S02002214,West Mainland,"4009","3999","1713","331633","1018752"
S02002215,East Mainland,"3663","3635","1467","350408","1008411"
S02002216,West Kirkwall,"3851","3788","1876","345082","1010186"
S02002217,East Kirkwall,"2500","2498","1201","345447","1010505"
S02002218,Isles,"4180","4142","2004","352728","1020021"
S02002219,"Powmill, Cleish and Scotlandwell","3630","3516","1405","309535","702646"
S02002220,Kinross,"4698","4683","2054","311372","702847"
S02002221,Milnathort and Crook of Devon,"3500","3459","1477","311854","704312"
S02002222,"Muthill, Greenloaning and Gleneagles","3562","3511","1517","289640","708931"
S02002223,Auchterarder,"4069","3968","1793","294291","712467"
S02002224,"Comrie, Gilmerton and St Fillans","3788","3625","1699","277785","721743"
S02002225,Crieff North,"3234","2998","1359","286388","722108"
S02002226,Crieff South,"4134","4097","1925","286424","721453"
S02002227,Aberuthven and Almondbank,"4144","4142","1749","306440","725822"
S02002228,"Glenfarg, Dunning and Rhynd","3982","3572","1498","302108","714422"
S02002229,Bridge of Earn and Abernethy,"4933","4760","2067","313394","717615"
S02002230,Moncrieffe and Friarton,"4366","3806","1707","311171","721943"
S02002231,"Viewlands, Craigie and Wellshill","5780","5745","2702","310523","723319"
S02002232,Burghmuir and Oakbank,"4277","4267","1859","309036","723003"
S02002233,Western Edge,"4205","4101","1694","308660","724170"
S02002234,Letham,"5808","5795","2602","309371","724167"
S02002235,"Hillyland, Tulloch and Inveralmond","5810","5671","2543","309617","725002"
S02002236,North Muirton and Old Scone,"3303","3301","1534","310502","725803"
S02002237,Muirton,"3001","2968","1414","311270","724673"
S02002238,North Inch,"2256","2139","1247","311508","724015"
S02002239,Central and South Inch,"4584","4464","2841","311666","723506"
S02002240,Gannochy and Walnut Grove,"3724","3532","1619","312423","723874"
S02002241,Scone,"4998","4944","2268","313683","726339"
S02002242,"Guildtown, Balbeggie and St Madoes","3894","3689","1563","316973","729559"
S02002243,Errol and Inchture,"3729","3722","1584","326902","725723"
S02002244,"Invergowrie, Longforgan and Abernyte","3790","3630","1630","331225","729847"
S02002245,Coupar Angus and Meigle,"5145","5085","2259","321998","739847"
S02002246,Alyth,"3054","3035","1411","324740","748792"
S02002247,"Blair Atholl, Strathardle and Glenshee","4034","3873","1740","310623","745889"
S02002248,Blairgowrie East (Rattray),"3010","2950","1331","318183","745607"
S02002249,Blairgowrie West,"5533","5415","2575","318028","744430"
S02002250,Stanley and Murthly,"4516","4502","2005","307495","734689"
S02002251,Luncarty and Dunkeld,"5639","5110","2291","302410","730223"
S02002252,Pitlochry,"3716","3415","1681","294466","758196"
S02002253,Rannoch and Aberfeldy,"4806","4649","2134","285605","749192"
S02002254,Lochwinnoch,"2769","2769","1246","235161","659135"
S02002255,Renfrewshire Rural South and Howwood,"3768","3557","1401","239812","660586"
S02002256,Renfrewshire Rural North and Langbank,"3722","3440","1415","240424","665332"
S02002257,Kilbarchan,"3394","3390","1575","240734","662980"
S02002258,Johnstone South West,"5411","5399","2262","241963","661946"
S02002259,Johnstone North West,"3573","3564","1813","241880","662736"
S02002260,Johnstone North East,"3877","3848","1975","243360","663096"
S02002261,Johnstone South East,"4260","4251","2190","243084","662243"
S02002262,Elderslie and Phoenix,"5060","5007","2239","244245","662890"
S02002263,Paisley Ferguslie,"4227","4227","1964","246355","664223"
S02002264,Paisley North West,"3579","3569","2183","246979","663634"
S02002265,Paisley West,"5615","5509","2524","246268","662746"
S02002266,Paisley Foxbar,"4998","4939","2444","245422","661662"
S02002267,Paisley South West,"4850","4795","2069","246675","662204"
S02002268,Paisley Glenburn West,"4184","4042","1702","247187","660965"
S02002269,Paisley Glenburn East,"3470","3469","1548","247899","661646"
S02002270,Paisley South,"3843","3786","1613","248013","662331"
S02002271,Paisley South East,"5791","5629","3250","248353","662486"
S02002272,Paisley Dykebar,"3476","3476","1404","249812","662038"
S02002273,Paisley East,"4111","4045","1956","249337","662946"
S02002274,Paisley Central,"6584","6179","3803","248150","663711"
S02002275,Paisley North East,"5930","5837","3282","249379","664005"
S02002276,Paisley Ralston,"4904","4900","2031","250792","663999"
S02002277,Paisley Gallowhill and Hillington,"5625","5570","2796","249338","665067"
S02002278,Paisley North,"4603","4523","2545","247816","665072"
S02002279,Renfrew West,"6750","6657","3082","249718","667194"
S02002280,Renfrew South,"5128","5065","2470","250376","666372"
S02002281,Renfrew East,"5626","5623","2465","251126","666716"
S02002282,Renfrew North,"4350","4338","2351","250946","667730"
S02002283,Erskine East and Inchinnan,"5893","5851","2204","247802","669515"
S02002284,Erskine Central,"5176","5102","2174","246977","669927"
S02002285,Erskine West,"5820","5820","2421","245809","670987"
S02002286,Bishopton,"4708","4708","1941","243814","671151"
S02002287,Linwood South,"3939","3939","2011","243578","664391"
S02002288,Linwood North,"4652","4652","1951","242859","664757"
S02002289,Houston South,"3294","3294","1322","241795","665887"
S02002290,Houston North,"3102","3102","1204","240756","666036"
S02002291,Bridge of Weir,"4846","4846","2076","239183","665447"
S02002292,Tweeddale West Area,"5615","5523","2284","315756","650936"
S02002293,Peebles North,"4331","4258","2172","324880","640748"
S02002294,Peebles South,"4045","4015","1681","325489","639734"
S02002295,Tweeddale East Area,"5411","5374","2447","333716","636761"
S02002296,Earlston Stow and Clovernfords Area,"4844","4839","2097","357336","638557"
S02002297,Galashiels North,"3730","3676","1827","348309","636528"
S02002298,Galashiels West,"3130","3098","1588","348771","636061"
S02002299,Galashiels South,"3309","3095","1537","349733","635585"
S02002300,Langlee,"2798","2798","1349","351179","635463"
S02002301,Melrose and Tweedbank Area,"5266","5178","2328","353803","634968"
S02002302,Lauder and Area,"2909","2907","1214","353151","647344"
S02002303,Berwickshire Central,"4067","4032","1743","371305","646049"
S02002304,Duns,"2753","2745","1298","378761","653419"
S02002305,Berwickshire East,"3758","3730","1719","386671","663624"
S02002306,Eyemouth,"3546","3512","1618","394061","664294"
S02002307,Chirnside and Area,"4079","4077","1814","386895","656305"
S02002308,Coldstream and Area,"2752","2721","1342","383787","639885"
S02002309,Cheviot East,"4578","4576","2106","373280","633476"
S02002310,Kelso North,"3308","3252","1507","372883","634845"
S02002311,Kelso South,"2331","2308","1227","372746","634207"
S02002312,Cheviot West,"2855","2802","1255","362639","624528"
S02002313,St Boswells and Newtown Area,"3604","3549","1667","359724","631096"
S02002314,Jedburgh,"4030","4000","1915","364950","620491"
S02002315,Denholm and Hermitage,"3923","3841","1780","353530","617013"
S02002316,Burnfoot,"3068","3068","1272","351319","615962"
S02002317,Hawick Central,"4333","4329","2326","350724","614690"
S02002318,Hawick West End,"3372","3271","1638","349489","614030"
S02002319,Hawick North,"3580","3567","1760","350304","615407"
S02002320,Ettrick Yarrow and Liliesleaf Area,"2761","2737","1208","351653","624566"
S02002321,Selkirk,"5784","5711","2779","347046","628833"
S02002322,Shetland South,"3291","3272","1359","442861","1124309"
S02002323,Lerwick South,"3475","3442","1392","445835","1140179"
S02002324,Lerwick North,"4965","4905","2410","447351","1141620"
S02002325,Central Shetland,"3195","3179","1343","440222","1139581"
S02002326,East and West Mainland,"2789","2777","1156","438744","1151224"
S02002327,North Mainland,"2658","2637","1111","435207","1167869"
S02002328,North and East Isles,"2794","2769","1179","450683","1190946"
S02002329,Carrick South,"5501","5407","2390","226996","601350"
S02002330,Girvan Glendoune,"3405","3405","1544","218799","597074"
S02002331,Girvan Ailsa,"3246","3221","1612","218489","597710"
S02002332,Maybole,"4846","4809","2162","229821","610178"
S02002333,Carrick North,"4001","3834","1598","232627","614005"
S02002334,Coylton,"3709","3677","1541","240744","619585"
S02002335,Alloway and Doonfoot,"6075","5956","2577","232948","618560"
S02002336,Castlehill and Kincaidston,"4487","4487","1946","234879","619810"
S02002337,Belmont,"5553","5493","2466","234213","620214"
S02002338,Holmston and Forehill,"5041","5041","2223","235085","620727"
S02002339,Ayr South Harbour and Town Centre,"5359","5035","2785","233620","621622"
S02002340,"Ayr North Harbour, Wallacetown and Newton South","4757","4728","2683","234178","622699"
S02002341,Craigie,"2627","2536","1288","235318","621725"
S02002342,Dalmilling,"2884","2809","1165","236292","622638"
S02002343,"Lochside, Braehead and Whitletts","4211","4206","1942","235382","622862"
S02002344,Newton North,"4247","4232","2075","234742","623825"
S02002345,Heathfield,"4353","4353","1942","235247","624080"
S02002346,Prestwick West,"4145","4097","1916","235010","625697"
S02002347,Prestwick East,"5417","5387","2506","235883","625573"
S02002348,Prestwick Airport and Monkton,"2710","2643","1242","235940","627797"
S02002349,"Annbank, Mossblown and Tarbolton - the Coalfields","5962","5860","2539","240714","624980"
S02002350,"Dundonald, Loans and Symington","5341","5222","2239","236863","634381"
S02002351,Muirhead,"5472","5472","2236","233410","632483"
S02002352,Barassie,"4046","4046","2048","232770","631844"
S02002353,Troon,"5404","5314","2621","232393","631050"
S02002354,Clydesdale South,"2623","2596","1108","293260","623696"
S02002355,"Biggar, Symington, Thankerton and Dolphinton","5552","5467","2429","303718","637801"
S02002356,"Carstairs, Carstairs Junction and Carnwath","4872","4733","2070","296410","646525"
S02002357,"Forth, Braehead and Auchengray","3756","3756","1623","293895","653662"
S02002358,Law,"3737","3737","1572","281974","652426"
S02002359,Carluke West,"2910","2902","1297","284148","650680"
S02002360,Carluke North,"2417","2387","1181","284937","651208"
S02002361,Carluke East,"4103","4074","1727","285757","650134"
S02002362,Carluke South,"3260","3229","1388","284633","650066"
S02002363,"Crossford, Braidwood and Yieldshields","2576","2515","1050","284444","647977"
S02002364,Lanark North West,"2602","2554","1238","287839","644182"
S02002365,Lanark North East,"2366","2366","1133","288883","643917"
S02002366,Lanark South,"3779","3673","1703","288579","643384"
S02002367,Hazelbank and Kirkfieldbank,"3788","3780","1606","285733","643695"
S02002368,"Douglas, Coalburn and Rigside","4613","4486","2054","281242","634921"
S02002369,Lesmahagow,"3780","3735","1653","281678","639588"
S02002370,Kirkmuirhill and Blackwood,"4242","4209","1789","279257","643207"
S02002371,Ashgill and Netherburn,"2784","2684","1143","279048","649928"
S02002372,Merryton and Meadowhill,"3367","3367","1467","276149","651990"
S02002373,"Larkhall Central, Raploch, Millheugh and Burnhead","3823","3777","1783","275954","651011"
S02002374,Hareleeshill,"4126","4126","1900","277062","650576"
S02002375,Strutherhill,"3583","3550","1602","276266","649692"
S02002376,Stonehouse,"5713","5622","2365","275165","646122"
S02002377,Strathaven South,"4649","4590","2058","270002","644360"
S02002378,Strathaven North,"2901","2883","1151","270418","645435"
S02002379,"Chapelton, Glengavel and Sandford","2948","2776","1114","271746","643046"
S02002380,"Glassford, Quarter and Allanton","3018","3002","1224","272468","651295"
S02002381,Eddlewood,"3743","3743","1410","271784","652806"
S02002382,Low Waters,"2751","2694","1376","271858","653994"
S02002383,Silvertonhill,"2878","2878","1339","272134","654562"
S02002384,Hamilton Centre and Low Parks,"4060","3966","2195","272182","655750"
S02002385,Laighstonehall,"3683","3683","1965","271579","654687"
S02002386,Fairhill,"2163","2163","916","270929","654057"
S02002387,Woodhead and Meikle Earnock,"2868","2868","1239","270984","653784"
S02002388,Little Earnock,"6305","6305","2332","270107","654327"
S02002389,Earnock,"3976","3976","1675","269435","654519"
S02002390,Hillhouse,"4141","4141","1863","269177","655447"
S02002391,High Blantyre,"3955","3930","1926","268419","656503"
S02002392,Blantyre South and Wheatlands,"4358","4309","1976","268379","657561"
S02002393,Low Blantyre and Bardykes,"3388","3357","1325","268324","658473"
S02002394,Blantytre North and Coatshill,"3082","3082","1441","268981","657865"
S02002395,Burnbank North,"4896","4862","2184","269595","656532"
S02002396,Burnbank Central and Udston,"4687","4658","2387","270306","655738"
S02002397,Burnbank South and Chantinghall,"3641","3504","1693","270550","655068"
S02002398,Whitehill,"3886","3731","1803","270779","656575"
S02002399,Bothwell South,"3430","3430","1579","270264","658715"
S02002400,Bothwell North,"3085","3066","1295","270350","659493"
S02002401,Uddingston and Gardenside,"5482","5414","2516","269549","660490"
S02002402,"Halfway, Hallside and Drumsagard","5459","5459","2063","266291","659641"
S02002403,Westburn and Newton,"6002","5981","2426","265629","660635"
S02002404,Vicarland and Cairns,"4132","3998","1872","265230","659814"
S02002405,Whitlawburn and Greenlees,"4881","4841","2198","263642","659309"
S02002406,Cambuslang Central,"3834","3834","1703","263818","660576"
S02002407,"Burgh, Eastfield and Silverbank","5876","5876","2635","262814","660886"
S02002408,Farme Cross and Gallowflat North,"3236","3177","1838","261672","661769"
S02002409,Shawfield and Clincarthill,"3738","3479","1966","261209","661524"
S02002410,Burnhill and Bankhead North,"3348","3348","1738","260620","661552"
S02002411,Bankhead South,"3257","3257","1490","260545","660707"
S02002412,Spittal,"2878","2877","1362","261098","660239"
S02002413,High Crosshill,"3412","3378","1476","262519","660377"
S02002414,Burnside and Springhall,"4540","4522","2220","262641","659547"
S02002415,Fernhill and Cathkin,"3993","3993","1832","262649","658885"
S02002416,Nerston and EK Landward Area,"4611","4452","1958","264779","653387"
S02002417,Calderwood East,"3686","3686","1738","265882","655847"
S02002418,Calderwood Central,"3946","3901","2102","265141","655677"
S02002419,Calderwood West and Nerston,"4191","4186","1953","264486","655270"
S02002420,St Leonards North,"4608","4600","2118","265050","654530"
S02002421,St Leonards South,"4716","4716","2108","264476","653958"
S02002422,East Mains,"3061","3021","1510","263826","654929"
S02002423,West Mains,"3013","3013","1388","262679","654427"
S02002424,Stewartfield East,"2829","2829","1048","262657","655341"
S02002425,Stewartfield West,"4127","4102","1592","262171","655210"
S02002426,"Thorntonhall, Jackton and Gardenhall","3767","3767","1345","260003","653658"
S02002427,Hairmyres and Westwood West,"3738","3628","1583","261053","653962"
S02002428,Mossneuk and Newlandsmuir,"2846","2846","1099","260882","652765"
S02002429,Crosshouse and Lindsayfield,"4793","4632","1726","261652","651792"
S02002430,Whitehills West,"4021","3918","1645","262557","652398"
S02002431,Greenhills,"3336","3307","1340","261931","652718"
S02002432,Westwood South,"4392","4392","1976","262226","653255"
S02002433,Westwood East,"3324","3282","1622","262255","653864"
S02002434,The Murray,"3784","3759","1912","263395","653657"
S02002435,"Birniehill, Kelvin and Whitehills East","4109","4108","1743","263796","652959"
S02002436,Blane Valley,"5281","5194","2138","252707","685292"
S02002437,Balfron and Drymen,"4060","4048","1725","254433","688791"
S02002438,Kippen and Fintry,"3169","3163","1299","265044","694630"
S02002439,Cambusbarron,"3642","3639","1518","278146","692753"
S02002440,Plean and Rural SE,"3029","2937","1234","283290","687267"
S02002441,Cowie,"2649","2649","1094","284018","689599"
S02002442,Fallin,"2832","2832","1152","283636","691917"
S02002443,Bannockburn,"3494","3426","1476","281414","690141"
S02002444,Hillpark,"3550","3538","1410","280278","690423"
S02002445,Broomridge,"5541","5518","2606","280331","691305"
S02002446,Borestone,"3751","3745","1654","279206","691410"
S02002447,King's Park and Torbrex,"3784","3693","1769","279448","692118"
S02002448,Braehead,"2458","2420","1148","280080","692537"
S02002449,City Centre,"3938","3627","1812","279456","693814"
S02002450,Raploch,"2895","2841","1362","279018","694867"
S02002451,Cornton,"3397","2808","1097","279530","695583"
S02002452,Causewayhead,"2344","2329","1049","279985","695202"
S02002453,Bridge of Allan and University,"7147","5056","2275","279130","697429"
S02002454,Forth,"2650","2613","1266","280274","694042"
S02002455,Dunblane East,"5089","4762","1866","279095","701926"
S02002456,Dunblane West,"4344","4332","1873","277847","700905"
S02002457,Carse of Stirling,"4218","4149","1729","271298","701786"
S02002458,Callander and Trossachs,"3666","3516","1625","263465","707693"
S02002459,Highland,"3319","3039","1389","255832","720650"
S02002460,Whitecrook,"4485","4442","2175","250708","669690"
S02002461,Singer and Clydebank South,"4641","4430","2403","248783","670889"
S02002462,Drumry,"5682","5682","2586","250546","670652"
S02002463,Clydebank,"4416","4416","2226","249192","671259"
S02002464,Clydebank North,"3722","3719","1770","249631","672353"
S02002465,Clydebank east,"5535","5535","2419","250574","673377"
S02002466,Duntocher,"4567","4522","1933","248833","672972"
S02002467,Dalmuir,"5575","5516","2776","247934","671932"
S02002468,Kilpatrick,"5281","5249","2254","247028","672376"
S02002469,Bowling,"4237","4229","1895","241547","675131"
S02002470,Dumbarton east,"5188","5188","2272","240906","676382"
S02002471,Dumbarton,"6221","6093","3087","240387","675059"
S02002472,Dalreoch,"5715","5651","2641","238261","675811"
S02002473,Leven,"5117","5096","2314","238930","678905"
S02002474,Bonhill,"5798","5789","2542","240127","678957"
S02002475,Alexandria,"3966","3954","1895","239708","680370"
S02002476,Balloch,"6145","6119","2984","238955","681443"
S02002477,Lomond,"4429","4398","1995","239970","681976"
S02002478,Fauldhouse,"4843","4793","2106","293546","660948"
S02002479,Breich Valley,"5021","4505","1904","298363","662133"
S02002480,West Calder and Polbeth,"5505","5454","2417","302221","663155"
S02002481,"Bellsquarry, Adambrae and Kirkton","4686","4654","1692","304760","665629"
S02002482,Bankton and Murieston,"5273","5217","1905","305442","665211"
S02002483,Dedridge East,"5525","5427","2251","306161","666267"
S02002484,Mid Calder and Kirknewton,"5815","5813","2372","307226","666707"
S02002485,East Calder,"4999","4980","2115","308818","666991"
S02002486,Pumpherston and Uphall Station,"2671","2666","1175","306770","669351"
S02002487,Craigshill,"5738","5672","2561","306690","668407"
S02002488,Howden,"4493","4472","1856","305851","667555"
S02002489,Livingston Village and Eliburn South,"5201","5120","2005","303558","667592"
S02002490,Ladywell,"4939","4929","1995","305193","668430"
S02002491,Knightsridge,"5673","5669","2217","304754","669039"
S02002492,Knightsridge and Deans North,"3825","3825","1486","302826","669131"
S02002493,Deans,"2881","2871","1216","302502","668895"
S02002494,Carmondean and Eliburn North,"5848","5848","2385","303552","668488"
S02002495,Seafield,"2134","2134","915","300645","666063"
S02002496,Blackburn,"4743","4738","2215","298217","665765"
S02002497,Blaeberry Hill and East Whitburn,"6107","6027","2631","295613","664666"
S02002498,Whitburn Central,"4918","4918","2304","294103","664606"
S02002499,"Whitburn, Croftmalloch and Greenrigg","2994","2949","1243","294484","664059"
S02002500,Armadale,"5794","5759","2619","293537","668739"
S02002501,Armadale South,"6135","6073","2447","294179","668155"
S02002502,"Bathgate, Wester Inch and Inchcross","3983","3983","1610","298056","667306"
S02002503,Bathgate and Boghall,"4221","4206","1878","299304","668639"
S02002504,Bathgate East,"6330","6268","3063","297640","669140"
S02002505,Bathgate West,"6062","6058","2483","296393","668639"
S02002506,"Blackridge, Westfield and Torphichen","3531","3506","1483","290336","667361"
S02002507,Linlithgow South,"5996","5958","2406","299952","676459"
S02002508,Linlithgow Bridge,"4423","4330","1902","299032","677055"
S02002509,Linlithgow North,"3676","3676","1508","301642","677515"
S02002510,"Winchburgh, Bridgend and Philpstoun","4477","4477","2012","308235","674870"
S02002511,Broxburn Kirkhill,"4204","4164","1780","307023","672478"
S02002512,"Uphall, Dechmont and Ecclesmachan","5873","5630","2485","306035","671775"
S02002513,Broxburn South,"3813","3789","1479","307636","671923"
S02002514,Broxburn East,"2768","2754","1277","308198","672396"
